Year,Trade_Flow,Reporter,Reporter_ISO,Partner,Partner_ISO,Trade_Value
2019,Export,Australia,AUS,Cayman Isds,CYM,706363
2019,Import,Australia,AUS,Central African Rep.,CAF,67457
2019,Export,Australia,AUS,Central African Rep.,CAF,494168
2019,Import,Australia,AUS,Sri Lanka,LKA,203958468
2019,Export,Australia,AUS,Sri Lanka,LKA,156406880
2019,Import,Australia,AUS,Chad,TCD,71197
2019,Export,Australia,AUS,Chad,TCD,29591
2019,Import,Australia,AUS,Chile,CHL,399779352
2019,Export,Australia,AUS,Chile,CHL,227386810
2019,Import,Australia,AUS,China,CHN,56946556258
2019,Export,Australia,AUS,China,CHN,1.02996E+11
2019,Import,Australia,AUS,Christmas Isds,CXR,1721090
2019,Export,Australia,AUS,Christmas Isds,CXR,22648391
2019,Import,Australia,AUS,Cocos Isds,CCK,234957
2019,Export,Australia,AUS,Cocos Isds,CCK,6081921
2019,Import,Australia,AUS,Colombia,COL,84608740
2019,Export,Australia,AUS,Colombia,COL,25499080
2019,Import,Australia,AUS,Comoros,COM,6824
2019,Import,Australia,AUS,Congo,COG,120762413
2019,Export,Australia,AUS,Congo,COG,168444
2019,Import,Australia,AUS,Dem. Rep. of the Congo,COD,470313
2019,Export,Australia,AUS,Dem. Rep. of the Congo,COD,2270655
2019,Import,Australia,AUS,Cook Isds,COK,148035
2019,Export,Australia,AUS,Cook Isds,COK,7726463
2019,Import,Australia,AUS,Costa Rica,CRI,92029846
2019,Export,Australia,AUS,Costa Rica,CRI,2370556
2019,Import,Australia,AUS,Croatia,HRV,30053765
2019,Export,Australia,AUS,Croatia,HRV,2459867
2019,Import,Australia,AUS,Cuba,CUB,8837084
2019,Export,Australia,AUS,Cuba,CUB,415379
2019,Import,Australia,AUS,Cyprus,CYP,22863261
2019,Export,Australia,AUS,Cyprus,CYP,6198815
2019,Import,Australia,AUS,Czechia,CZE,573499913
2019,Export,Australia,AUS,Czechia,CZE,90794163
2019,Import,Australia,AUS,Benin,BEN,11448
2019,Export,Australia,AUS,Benin,BEN,491995
2019,Import,Australia,AUS,Denmark,DNK,971244478
2019,Export,Australia,AUS,Denmark,DNK,85053822
2019,Import,Australia,AUS,Dominica,DMA,375891
2019,Export,Australia,AUS,Dominica,DMA,267913
2019,Import,Australia,AUS,Dominican Rep.,DOM,38481660
2019,Export,Australia,AUS,Dominican Rep.,DOM,11042103
2019,Import,Australia,AUS,Ecuador,ECU,22866786
2019,Export,Australia,AUS,Ecuador,ECU,9154807
2019,Import,Australia,AUS,El Salvador,SLV,7867937
2019,Export,Australia,AUS,El Salvador,SLV,6356855
2019,Export,Australia,AUS,Equatorial Guinea,GNQ,350881
2019,Import,Australia,AUS,Ethiopia,ETH,18880170
2019,Export,Australia,AUS,Ethiopia,ETH,1295383
2019,Import,Australia,AUS,Eritrea,ERI,20453
2019,Export,Australia,AUS,Eritrea,ERI,3620310
2019,Import,Australia,AUS,Estonia,EST,206963010
2019,Export,Australia,AUS,Estonia,EST,9112449
2019,Import,Australia,AUS,Falkland Isds (Malvinas),FLK,110421
2019,Export,Australia,AUS,Falkland Isds (Malvinas),FLK,173500
